ano,serie,raca_cor,disciplina,value,escola_publica,escola_publica_contagem,regiao,regiao_contagem,sexo,sexo_contagem,escolaridade_agrupado,escolaridade_mae,escolaridade_pai,responsaveis_comparecem_reuniao_pais,quantidade_agrupado,possui_casa_dormitorio,possui_computador,possui_geladeira,possui_tv,possui_automovel,possui_casa_banheiro,possui_freezer,possui_maquina_lavar_roupa,evasao_escolar_ate_final_ano,rede,reprovacao,possui_trabalho_agrupado,possui_trabalho,tempo_lazer_agrupado,tempo_lazer,trabalho_domestico_agrupado,tempo_trabalho_domestico,desempenho_aluno,desempenho_aluno_contagem
2013,5,Parda,LP,D,-,0,Sudeste,35072,-,0,EB completa,42140,30420.0,0,Sim,100300,10024,7802,48240,6316,12626,3178,5810,0,0,0,0,0,Não,130878,Não,29736,Insuficiente,51824
2013,5,Parda,LP,E,-,0,Sul,29406,-,0,EB completa,35638,32618.0,0,Sim,40666,3924,2300,20676,3476,4100,1742,2168,0,0,0,0,0,0,0,Sim,61658,-,0
2013,5,Parda,LP,F,-,0,-,0,-,0,ES completo,118610,156170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Preta,LP,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3421
2013,5,Preta,LP,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Preta,LP,A,Não,27846,Norte,204790,Masculino,785588,EB incompleta,239528,227220.0,949332,Não,18800,656876,40164,86974,862436,31452,1173068,361732,1428892,1173194,1108932,Não,1312112,Sim,98128,Não,676056,Avançado,118840
2013,5,Preta,LP,B,Sim,1609408,Nordeste,477618,Feminino,795178,EB incompleta,235656,162524.0,482382,Sim,217166,678182,1306756,621876,554390,1116788,357342,1035294,93256,142346,309612,Sim,224430,Não,490996,Não,355664,Proficiente,244331
2013,5,Preta,LP,C,-,0,Centro-Oeste,645330,-,0,EB incompleta,175160,155846.0,128270,Sim,642010,173812,195824,518330,131400,332904,35560,169248,26014,217442,113510,0,0,Não,354634,Não,109328,Básico,291508
2013,5,Preta,LP,D,-,0,Sudeste,151804,-,0,EB completa,226912,161526.0,0,Sim,497696,50168,27634,217040,33134,68626,10470,22242,0,0,0,0,0,Não,598460,Não,108644,Insuficiente,160527
2013,5,Preta,LP,E,-,0,Sul,157712,-,0,EB completa,174072,153612.0,0,Sim,185888,20676,7466,92494,17234,21706,6134,6568,0,0,0,0,0,0,0,Sim,287706,-,0
2013,5,Preta,LP,F,-,0,-,0,-,0,ES completo,531748,705120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Amarela,MT,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,218
