ano,disciplina,raca_cor,value,presenca,cont_presenca,nota,cont_nota
2010,LP,Parda,B,Presença,1248678,Entre 800 e 700,1916
2010,LP,Parda,C,Eliminação,6029,Entre 700 e 600,91868
2010,LP,Parda,D,-,0,Entre 600 e 500,539344
2010,LP,Parda,E,-,0,Entre 500 e 400,462968
2010,LP,Parda,F,-,0,Abaixo de 400,152581
2010,LP,Preta,*,-,0,Sem nota,179362
2010,LP,Preta,A,Falta,177362,Acima de 800,0
2010,LP,Preta,B,Presença,362849,Entre 800 e 700,342
2010,LP,Preta,C,Eliminação,2000,Entre 700 e 600,24236
2010,LP,Preta,D,-,0,Entre 600 e 500,162499
2010,LP,Preta,E,-,0,Entre 500 e 400,132737
2010,LP,Preta,F,-,0,Abaixo de 400,43035
2010,MT,Amarela,*,-,0,Sem nota,27432
2010,MT,Amarela,A,Falta,27084,Acima de 800,1657
2010,MT,Amarela,B,Presença,71527,Entre 800 e 700,4974
2010,MT,Amarela,C,Eliminação,348,Entre 700 e 600,11161
2010,MT,Amarela,D,-,0,Entre 600 e 500,20030
2010,MT,Amarela,E,-,0,Entre 500 e 400,20936
2010,MT,Amarela,F,-,0,Abaixo de 400,12769
2010,MT,Branca,*,-,1,Sem nota,546492
2010,MT,Branca,A,Falta,540696,Acima de 800,21586
2010,MT,Branca,B,Presença,1438387,Entre 800 e 700,99376
2010,MT,Branca,C,Eliminação,5795,Entre 700 e 600,275802
2010,MT,Branca,D,-,0,Entre 600 e 500,437563
2010,MT,Branca,E,-,0,Entre 500 e 400,387737
2010,MT,Branca,F,-,0,Abaixo de 400,216323
2010,MT,Indígena,*,-,0,Sem nota,9985
2010,MT,Indígena,A,Falta,9888,Acima de 800,52
2010,MT,Indígena,B,Presença,20741,Entre 800 e 700,321
2010,MT,Indígena,C,Eliminação,97,Entre 700 e 600,1791
2010,MT,Indígena,D,-,0,Entre 600 e 500,4991
2010,MT,Indígena,E,-,0,Entre 500 e 400,7606
2010,MT,Indígena,F,-,0,Abaixo de 400,5980
2010,MT,Parda,*,-,1,Sem nota,551879
2010,MT,Parda,A,Falta,545849,Acima de 800,5013
2010,MT,Parda,B,Presença,1248678,Entre 800 e 700,31175
2010,MT,Parda,C,Eliminação,6029,Entre 700 e 600,138164
2010,MT,Parda,D,-,0,Entre 600 e 500,334637
2010,MT,Parda,E,-,0,Entre 500 e 400,435781
2010,MT,Parda,F,-,0,Abaixo de 400,303908
2010,MT,Preta,*,-,0,Sem nota,179362
2010,MT,Preta,A,Falta,177362,Acima de 800,770
2010,MT,Preta,B,Presença,362849,Entre 800 e 700,6470
2010,MT,Preta,C,Eliminação,2000,Entre 700 e 600,36265
2010,MT,Preta,D,-,0,Entre 600 e 500,97639
2010,MT,Preta,E,-,0,Entre 500 e 400,129524
2010,MT,Preta,F,-,0,Abaixo de 400,92181
2011,CH,Amarela,*,-,0,Sem nota,30430
2011,CH,Amarela,A,Falta,30397,Acima de 800,0
2011,CH,Amarela,B,Presença,92628,Entre 800 e 700,309
2011,CH,Amarela,C,Eliminação,33,Entre 700 e 600,5653
2011,CH,Amarela,D,-,0,Entre 600 e 500,32232
2011,CH,Amarela,E,-,0,Entre 500 e 400,38705
2011,CH,Amarela,F,-,0,Abaixo de 400,15729
2011,CH,Branca,*,-,0,Sem nota,526306
2011,CH,Branca,A,Falta,525657,Acima de 800,0
2011,CH,Branca,B,Presença,1707641,Entre 800 e 700,7758
2011,CH,Branca,C,Eliminação,649,Entre 700 e 600,141420
2011,CH,Branca,D,-,0,Entre 600 e 500,657989
2011,CH,Branca,E,-,0,Entre 500 e 400,657685
2011,CH,Branca,F,-,0,Abaixo de 400,242789
2011,CH,Indígena,*,-,0,Sem nota,9810
2011,CH,Indígena,A,Falta,9790,Acima de 800,0
2011,CH,Indígena,B,Presença,24443,Entre 800 e 700,23
2011,CH,Indígena,C,Eliminação,20,Entre 700 e 600,596
2011,CH,Indígena,D,-,0,Entre 600 e 500,5554
2011,CH,Indígena,E,-,0,Entre 500 e 400,11114
2011,CH,Indígena,F,-,0,Abaixo de 400,7156
2011,CH,Parda,*,-,0,Sem nota,589172
2011,CH,Parda,A,Falta,588343,Acima de 800,0
2011,CH,Parda,B,Presença,1591438,Entre 800 e 700,2559
2011,CH,Parda,C,Eliminação,829,Entre 700 e 600,63130
2011,CH,Parda,D,-,0,Entre 600 e 500,467598
2011,CH,Parda,E,-,0,Entre 500 e 400,701524
2011,CH,Parda,F,-,0,Abaixo de 400,356627
2011,CH,Preta,*,-,0,Sem nota,190365
2011,CH,Preta,A,Falta,190091,Acima de 800,0
2011,CH,Preta,B,Presença,467113,Entre 800 e 700,521
2011,CH,Preta,C,Eliminação,274,Entre 700 e 600,16983
2011,CH,Preta,D,-,0,Entre 600 e 500,145829
2011,CH,Preta,E,-,0,Entre 500 e 400,204939
2011,CH,Preta,F,-,0,Abaixo de 400,98841
2011,CN,Amarela,*,-,0,Sem nota,30430
2011,CN,Amarela,A,Falta,30397,Acima de 800,57
2011,CN,Amarela,B,Presença,92628,Entre 800 e 700,1157
2011,CN,Amarela,C,Eliminação,33,Entre 700 e 600,6005
2011,CN,Amarela,D,-,0,Entre 600 e 500,25390
2011,CN,Amarela,E,-,0,Entre 500 e 400,40304
2011,CN,Amarela,F,-,0,Abaixo de 400,19715
2011,CN,Branca,*,-,0,Sem nota,526306
2011,CN,Branca,A,Falta,525657,Acima de 800,717
2011,CN,Branca,B,Presença,1707641,Entre 800 e 700,17792
2011,CN,Branca,C,Eliminação,649,Entre 700 e 600,130599
2011,CN,Branca,D,-,0,Entre 600 e 500,557764
2011,CN,Branca,E,-,0,Entre 500 e 400,701809
2011,CN,Branca,F,-,0,Abaixo de 400,298960
2011,CN,Indígena,*,-,0,Sem nota,9810
2011,CN,Indígena,A,Falta,9790,Acima de 800,1
2011,CN,Indígena,B,Presença,24443,Entre 800 e 700,40
2011,CN,Indígena,C,Eliminação,20,Entre 700 e 600,423
2011,CN,Indígena,D,-,0,Entre 600 e 500,4385
2011,CN,Indígena,E,-,0,Entre 500 e 400,11332
2011,CN,Indígena,F,-,0,Abaixo de 400,8262
2011,CN,Parda,*,-,0,Sem nota,589172
2011,CN,Parda,A,Falta,588343,Acima de 800,183
2011,CN,Parda,B,Presença,1591438,Entre 800 e 700,4678
2011,CN,Parda,C,Eliminação,829,Entre 700 e 600,47502
2011,CN,Parda,D,-,0,Entre 600 e 500,368325
2011,CN,Parda,E,-,0,Entre 500 e 400,737027
2011,CN,Parda,F,-,0,Abaixo de 400,433723
2011,CN,Preta,*,-,0,Sem nota,190365
2011,CN,Preta,A,Falta,190091,Acima de 800,24
2011,CN,Preta,B,Presença,467113,Entre 800 e 700,714
2011,CN,Preta,C,Eliminação,274,Entre 700 e 600,10723
2011,CN,Preta,D,-,0,Entre 600 e 500,108011
2011,CN,Preta,E,-,0,Entre 500 e 400,220792
2011,CN,Preta,F,-,0,Abaixo de 400,126849
2011,LP,Amarela,*,-,0,Sem nota,32994
2011,LP,Amarela,A,Falta,32946,Acima de 800,0
2011,LP,Amarela,B,Presença,90064,Entre 800 e 700,342
2011,LP,Amarela,C,Eliminação,48,Entre 700 e 600,12432
2011,LP,Amarela,D,-,0,Entre 600 e 500,47353
2011,LP,Amarela,E,-,0,Entre 500 e 400,24411
2011,LP,Amarela,F,-,0,Abaixo de 400,5526
2011,LP,Branca,*,-,0,Sem nota,572361
2011,LP,Branca,A,Falta,571620,Acima de 800,0
2011,LP,Branca,B,Presença,1661586,Entre 800 e 700,8581
2011,LP,Branca,C,Eliminação,741,Entre 700 e 600,304673
2011,LP,Branca,D,-,0,Entre 600 e 500,874440
2011,LP,Branca,E,-,0,Entre 500 e 400,389362
2011,LP,Branca,F,-,0,Abaixo de 400,84530
2011,LP,Indígena,*,-,0,Sem nota,10632
2011,LP,Indígena,A,Falta,10607,Acima de 800,0
2011,LP,Indígena,B,Presença,23621,Entre 800 e 700,18
2011,LP,Indígena,C,Eliminação,25,Entre 700 e 600,1342
2011,LP,Indígena,D,-,0,Entre 600 e 500,10258
2011,LP,Indígena,E,-,0,Entre 500 e 400,9200
2011,LP,Indígena,F,-,0,Abaixo de 400,2803
2011,LP,Parda,*,-,0,Sem nota,635877
2011,LP,Parda,A,Falta,635032,Acima de 800,0
2011,LP,Parda,B,Presença,1544733,Entre 800 e 700,2365
2011,LP,Parda,C,Eliminação,845,Entre 700 e 600,137146
2011,LP,Parda,D,-,0,Entre 600 e 500,760733
2011,LP,Parda,E,-,0,Entre 500 e 400,513134
2011,LP,Parda,F,-,0,Abaixo de 400,131355
2011,LP,Preta,*,-,0,Sem nota,205031
2011,LP,Preta,A,Falta,204774,Acima de 800,0
2011,LP,Preta,B,Presença,452447,Entre 800 e 700,459
2011,LP,Preta,C,Eliminação,257,Entre 700 e 600,36927
2011,LP,Preta,D,-,0,Entre 600 e 500,228809
2011,LP,Preta,E,-,0,Entre 500 e 400,148858
2011,LP,Preta,F,-,0,Abaixo de 400,37394
2011,MT,Amarela,*,-,0,Sem nota,32994
2011,MT,Amarela,A,Falta,32946,Acima de 800,2304
2011,MT,Amarela,B,Presença,90064,Entre 800 e 700,7029
2011,MT,Amarela,C,Eliminação,48,Entre 700 e 600,16171
2011,MT,Amarela,D,-,0,Entre 600 e 500,22627
2011,MT,Amarela,E,-,0,Entre 500 e 400,26265
2011,MT,Amarela,F,-,0,Abaixo de 400,15668
2011,MT,Branca,*,-,0,Sem nota,572361
2011,MT,Branca,A,Falta,571620,Acima de 800,35676
2011,MT,Branca,B,Presença,1661586,Entre 800 e 700,154126
2011,MT,Branca,C,Eliminação,741,Entre 700 e 600,377309
2011,MT,Branca,D,-,0,Entre 600 e 500,442123
2011,MT,Branca,E,-,0,Entre 500 e 400,423266
2011,MT,Branca,F,-,0,Abaixo de 400,229086
2011,MT,Indígena,*,-,0,Sem nota,10632
2011,MT,Indígena,A,Falta,10607,Acima de 800,75
2011,MT,Indígena,B,Presença,23621,Entre 800 e 700,522
2011,MT,Indígena,C,Eliminação,25,Entre 700 e 600,2470
2011,MT,Indígena,D,-,0,Entre 600 e 500,5483
2011,MT,Indígena,E,-,0,Entre 500 e 400,8635
2011,MT,Indígena,F,-,0,Abaixo de 400,6436
2011,MT,Parda,*,-,0,Sem nota,635877
2011,MT,Parda,A,Falta,635032,Acima de 800,8843
2011,MT,Parda,B,Presença,1544733,Entre 800 e 700,55578
2011,MT,Parda,C,Eliminação,845,Entre 700 e 600,217359
2011,MT,Parda,D,-,0,Entre 600 e 500,387121
2011,MT,Parda,E,-,0,Entre 500 e 400,530259
2011,MT,Parda,F,-,0,Abaixo de 400,345573
2011,MT,Preta,*,-,0,Sem nota,205031
2011,MT,Preta,A,Falta,204774,Acima de 800,1458
2011,MT,Preta,B,Presença,452447,Entre 800 e 700,12448
2011,MT,Preta,C,Eliminação,257,Entre 700 e 600,59489
2011,MT,Preta,D,-,0,Entre 600 e 500,115277
2011,MT,Preta,E,-,0,Entre 500 e 400,160045
2011,MT,Preta,F,-,0,Abaixo de 400,103730
2012,CH,Amarela,*,-,0,Sem nota,34458
2012,CH,Amarela,A,Falta,34365,Acima de 800,15
2012,CH,Amarela,B,Presença,97862,Entre 800 e 700,1810
2012,CH,Amarela,C,Eliminação,93,Entre 700 e 600,15683
2012,CH,Amarela,D,-,0,Entre 600 e 500,43322
2012,CH,Amarela,E,-,0,Entre 500 e 400,29955
2012,CH,Amarela,F,-,0,Abaixo de 400,7077
2012,CH,Branca,*,-,0,Sem nota,605176
2012,CH,Branca,A,Falta,603788,Acima de 800,484
2012,CH,Branca,B,Presença,1816196,Entre 800 e 700,47017
2012,CH,Branca,C,Eliminação,1388,Entre 700 e 600,369528
2012,CH,Branca,D,-,0,Entre 600 e 500,803580
2012,CH,Branca,E,-,0,Entre 500 e 400,486023
2012,CH,Branca,F,-,0,Abaixo de 400,109564
2012,CH,Indígena,*,-,0,Sem nota,10797
2012,CH,Indígena,A,Falta,10764,Acima de 800,3
2012,CH,Indígena,B,Presença,24959,Entre 800 e 700,136
2012,CH,Indígena,C,Eliminação,33,Entre 700 e 600,1950
2012,CH,Indígena,D,-,0,Entre 600 e 500,9488
2012,CH,Indígena,E,-,0,Entre 500 e 400,10243
